# Nmap 7.95 scan initiated Fri Oct  3 21:34:29 2025 as: nmap -p- -T4 -n -Pn -oN /workspace/htb/celestial-scribe/scans/nmap_full.txt 94.237.123.119
Nmap scan report for 94.237.123.119
Host is up (0.16s latency).
Not shown: 65052 closed tcp ports (conn-refused)
PORT      STATE    SERVICE
45201/tcp open     unknown
45252/tcp open     unknown
45473/tcp open     unknown
45479/tcp open     unknown
45685/tcp open     unknown
45719/tcp open     unknown
45826/tcp open     unknown
45925/tcp open     unknown
45954/tcp open     unknown
45993/tcp open     unknown
46043/tcp open     unknown
46083/tcp open     unknown
46218/tcp open     unknown
46239/tcp open     unknown
46324/tcp open     unknown
46380/tcp open     unknown
46466/tcp open     unknown
46470/tcp open     unknown
46657/tcp open     unknown
46706/tcp open     unknown
46728/tcp open     unknown
46797/tcp open     unknown
46901/tcp open     unknown
46913/tcp open     unknown
46916/tcp open     unknown
47090/tcp open     unknown
47276/tcp open     unknown
47355/tcp open     unknown
47428/tcp open     unknown
47453/tcp open     unknown
47483/tcp open     unknown
47492/tcp open     unknown
47599/tcp open     unknown
47638/tcp open     unknown
47735/tcp open     unknown
47905/tcp open     unknown
48037/tcp open     unknown
48079/tcp open     unknown
48108/tcp open     unknown
48139/tcp open     unknown
48164/tcp open     unknown
48248/tcp open     unknown
48257/tcp open     unknown
48312/tcp open     unknown
48370/tcp open     unknown
48399/tcp open     unknown
48544/tcp open     unknown
48603/tcp open     unknown
48889/tcp open     unknown
49050/tcp open     unknown
49073/tcp open     unknown
49134/tcp open     unknown
49166/tcp open     unknown
49171/tcp open     unknown
49239/tcp open     unknown
49316/tcp open     unknown
49399/tcp open     unknown
49476/tcp open     unknown
49606/tcp open     unknown
49629/tcp open     unknown
49671/tcp open     unknown
49762/tcp open     unknown
49773/tcp open     unknown
49784/tcp open     unknown
49787/tcp open     unknown
49809/tcp open     unknown
49866/tcp open     unknown
49901/tcp open     unknown
50082/tcp open     unknown
50231/tcp open     unknown
50238/tcp open     unknown
50264/tcp open     unknown
50309/tcp open     unknown
50330/tcp open     unknown
50365/tcp open     unknown
50377/tcp open     unknown
50510/tcp open     unknown
50511/tcp open     unknown
50516/tcp open     unknown
50549/tcp open     unknown
50569/tcp open     unknown
50617/tcp open     unknown
50875/tcp open     unknown
50908/tcp open     unknown
50944/tcp open     unknown
51046/tcp open     unknown
51138/tcp open     unknown
